channel,domain,lean,viral_count,average_count,viral_cuts_per_minute,average_cuts_per_minute,diff_cuts_per_minute,viral_silence_pct,average_silence_pct,diff_silence_pct,viral_wpm,average_wpm,diff_wpm,viral_high_activation_pct,average_high_activation_pct,diff_high_activation_pct,viral_recovery_pct,average_recovery_pct,diff_recovery_pct,viral_recovery_periods,average_recovery_periods,diff_recovery_periods,viral_max_activation_streak,average_max_activation_streak,diff_max_activation_streak,viral_energy_cv,average_energy_cv,diff_energy_cv,viral_pitch_cv,average_pitch_cv,diff_pitch_cv,viral_relentlessness_composite,average_relentlessness_composite,diff_relentlessness_composite
Ali Abdaal,non-political,,6,6,4.94,0.0,4.94,3.12,0.43,2.7,191.72,227.55,-35.83,29.82,17.08,12.73,53.52,82.92,-29.4,2.83,4.83,-2.0,3.5,3.17,0.33,0.66,0.47,0.19,0.43,0.2,0.23,51.83,44.9,6.93
Ben Shapiro,political,right,6,6,0.0,0.0,0.0,1.86,0.96,0.91,178.75,227.23,-48.48,52.5,38.95,13.55,47.5,61.05,-13.55,4.33,4.17,0.17,5.0,4.17,0.83,0.74,0.61,0.14,0.31,0.36,-0.05,58.55,54.08,4.47
Fox News,political,right,6,6,0.0,0.0,0.0,2.55,1.06,1.49,98.57,116.38,-17.82,26.63,19.07,7.57,40.03,80.93,-40.9,3.67,3.83,-0.17,4.0,3.17,0.83,0.69,0.83,-0.14,0.16,0.21,-0.05,54.52,40.68,13.83
Hasan Piker,political,left,3,3,0.0,0.0,0.0,3.6,4.76,-1.16,214.23,180.43,33.8,42.6,42.53,0.07,57.4,57.47,-0.07,5.0,6.67,-1.67,5.67,7.0,-1.33,0.67,0.72,-0.05,0.29,0.26,0.03,54.1,52.73,1.37
MSNBC,political,left,3,3,0.0,0.0,0.0,4.41,9.56,-5.15,179.57,179.0,0.57,39.67,25.33,14.33,60.33,74.67,-14.33,10.67,7.67,3.0,7.33,4.33,3.0,0.79,0.87,-0.08,0.23,0.28,-0.05,49.9,39.57,10.33
Mel Robbins,non-political,,3,3,0.0,0.0,0.0,1.65,4.82,-3.17,175.9,175.8,0.1,27.0,35.07,-8.07,73.0,64.93,8.07,6.33,8.33,-2.0,3.33,6.67,-3.33,0.6,0.81,-0.21,0.28,0.34,-0.06,47.4,46.9,0.5
MrBeast,non-political,,6,6,0.0,6.57,-6.57,0.05,0.59,-0.54,206.6,207.63,-1.03,39.95,24.9,15.05,60.05,75.1,-15.05,3.17,2.67,0.5,5.33,3.17,2.17,0.47,0.53,-0.06,0.39,0.6,-0.22,57.48,47.88,9.6
PragerU,political,right,5,6,0.0,0.35,-0.35,5.43,12.44,-7.01,127.48,155.42,-27.94,38.66,46.55,-7.89,41.34,53.45,-12.11,2.8,4.5,-1.7,3.4,7.17,-3.77,0.69,0.62,0.07,0.39,0.27,0.12,56.06,55.7,0.36
Robert Reich,political,left,6,6,0.0,0.0,0.0,7.49,4.36,3.13,126.68,159.15,-32.47,29.02,23.12,5.9,70.98,76.88,-5.9,4.33,4.83,-0.5,3.67,3.0,0.67,0.65,0.59,0.07,0.25,0.34,-0.09,46.03,44.9,1.13
Veritasium,non-political,,3,3,0.0,0.0,0.0,0.32,0.57,-0.25,164.13,177.13,-13.0,40.7,25.2,15.5,59.3,74.8,-15.5,7.67,7.0,0.67,5.33,5.67,-0.33,0.5,0.56,-0.06,0.46,0.35,0.11,57.37,47.53,9.83
